"Positions 
All Accounts 
as of 08/09/2026 at 11:56:31 AM"

Symbol,Quantity,Last,$ Avg Cost,$ Chg,% Chg,Delta,Notes,Bid,Ask,UL Last,UL % Chg,Time Val,$ Day G/L,% Day G/L,$ Total G/L,% Total G/L,Expiration,Value,Earnings Date,Div Ex-Date,Yield,P/E,Intrinsic Val,% Margin Req,Theta
AGNC,700,10.84,10.78,0.23,2.17,--,--,10.85,10.9,--,--,--,161.00,2.16,44.27,0.58,--,"7,588.00",Oct-19-2026,Jul-31-2026,13.57%,5.56,--,--,--
Cash (FDRXX),"10,148.64",1.00,--,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--,"10,148.64",--,Nov-3-2025,3.40%,0.00,--,--,--
AGNC260918C11,-7,0.20,0.11,0.00,0.00,0.4063,bb 0.01,0.18,0.2,10.84,2.17,0.178,--,--,-60.36,-75.80,Sep-18-2026,-140.00,Oct-19-2026,--,--,0.00,0.00,--,-0.0035
FSKAX,891.193,213.98,198.16,1.59,0.75,--,--,--,--,--,--,--,--,--,"14,097.47",7.98,--,"190,697.48",--,Apr-10-2026,--,0.00,--,--,--
Cash (FDRXX),"22,891.49",1.00,--,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--,"22,891.49",--,Nov-3-2025,3.40%,0.00,--,--,--
T,"1,800",23.79,28.55,0.08,0.34,--,--,23.8,23.81,--,--,--,144.00,0.33,"-8,561.93",-16.67,--,"42,822.00",Oct-20-2026,Jul-10-2026,4.68%,7.83,--,30.00,--
ADBE,100,265.21,239.9,4.97,1.91,--,--,264.66,265,--,--,--,497.00,1.90,"2,531.33",10.55,--,"26,521.00",Sep-10-2026,--,0.00%,14.89,--,30.00,--
AMZN,100,274.48,263.73,2.22,0.82,--,--,274.29,274.4,--,--,--,222.00,0.81,"1,075.50",4.07,--,"27,448.00",Oct-28-2026,--,0.00%,21.90,--,30.00,--
CMG,500,32.79,31.22,-0.92,-2.73,--,Sell weekle PUT for 1/16 @36,32.77,32.8,--,--,--,-460.00,-2.73,786.62,5.03,--,"16,395.00",Oct-27-2026,--,--,31.10,--,30.00,--
Cash (FCASH),"18,554.29",1.00,--,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--,"18,554.29",--,--,--,0.00,--,100.00,--
FDRXX,"40,033.44",1.00,--,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--,"40,033.44",--,Nov-3-2025,3.40%,0.00,--,100.00,--
HPQ,"1,000",30.05,29.43,1.87,6.64,--,WCC sell needed,29.75,30.01,--,--,--,"1,870.00",6.63,623.18,2.11,--,"30,050.00",Aug-25-2026,Sep-9-2026,4.26%,10.40,--,30.00,--
TLT,200,82.76,82.65,0.24,0.29,--,--,82.67,82.76,--,--,--,48.00,0.29,22.58,0.13,--,"16,552.00",--,Aug-3-2026,4.71%,0.00,--,100.00,--
MCD,100,274.48,303.26,-1.78,-0.64,--,--,274.4,274.87,--,--,--,-178.00,-0.65,"-2,877.67",-9.49,--,"27,448.00",Nov-3-2026,Sep-1-2026,2.69%,22.44,--,30.00,--
SBUX270115C80,3,27.86,21.46,0.00,0.00,0.9271,--,26.6,28.35,105.58,0.40,1.7912,--,--,"1,542.98",23.97,Jan-15-2027,"7,980.00",Oct-27-2026,--,--,0.00,25.60,--,-0.0072
T270115P22,10,0.98,0.68,0.00,0.00,-0.3146,--,0.84,1.01,23.79,0.34,0.9468,--,--,163.26,24.12,Jan-15-2027,840.00,Oct-20-2026,--,--,0.00,0.00,--,-0.0045
V270115C300,1,70.30,50.86,0.00,0.00,0.8877,--,69.35,71.9,362.50,-2.15,7.9747,--,--,"1,849.33",36.36,Jan-15-2027,"6,935.00",Oct-26-2026,--,--,0.00,62.74,--,-0.0300
ARM270115C80,2,224.60,44.23,0.00,0.00,0.9921,--,203,207.2,282.57,-1.43,2.4842,--,--,"31,753.66",358.94,Jan-15-2027,"40,600.00",Nov-3-2026,--,--,0.00,202.525,--,0.0000
GLD270115C380,1,38.85,97.31,0.00,0.00,0.6966,--,37.9,38.75,398.47,2.26,19.8184,--,--,"-5,940.67",-61.06,Jan-15-2027,"3,790.00",--,--,--,0.00,19.0992,--,-0.0619
SMCI270115C25,4,10.40,12.71,0.00,0.00,0.7684,--,10,10.35,31.13,5.96,4.2487,--,--,"-1,082.70",-21.31,Jan-15-2027,"4,000.00",Aug-11-2026,--,--,0.00,6.14,--,-0.0164
TBIL,"1,600",49.91,49.88,0.02,0.04,--,--,49.91,49.91,--,--,--,32.00,0.04,55.03,0.06,--,"79,856.00",--,Jul-28-2026,3.69%,0.00,--,30.00,--
SLV270115C50,1,10.97,30.73,0.00,0.00,0.7555,--,10.75,10.95,57.50,2.95,3.3842,--,--,"-1,997.67",-65.02,Jan-15-2027,"1,075.00",--,--,--,0.00,7.6545,--,-0.0143
IBIT270115P30,5,1.29,3.84,0.00,0.00,-0.1860,--,1.27,1.31,36.80,0.85,1.2789,--,--,"-1,283.37",-66.90,Jan-15-2027,635.00,--,--,--,0.00,0.00,--,-0.0091
IBIT270115C20,3,16.45,18.57,0.00,0.00,0.9587,--,17.35,17.65,36.80,0.85,0.7073,--,--,-365.02,-6.56,Jan-15-2027,"5,205.00",--,--,--,0.00,16.8107,--,-0.0021
AVGO261218C340,1,106.91,93.89,0.00,0.00,0.8213,--,106.1,108.85,427.76,1.71,20.316,--,--,"1,221.34",13.00,Dec-18-2026,"10,610.00",Sep-2-2026,--,--,0.00,85.697,--,-0.1193
IWM260918C310,-1,3.69,2.9,0.00,0.00,0.3460,bb 0.58,3.62,3.7,301.56,1.11,3.755,--,--,-79.66,-27.44,Sep-18-2026,-370.00,--,--,--,0.00,0.00,--,-0.0752
LEN270115C80,1,13.50,43.57,0.00,0.00,0.7114,--,12.3,14.7,88.18,3.96,6.0097,--,--,"-3,126.67",-71.77,Jan-15-2027,"1,230.00",Sep-16-2026,--,--,0.00,8.11,--,-0.0230
LEN270115P80,1,5.20,10.41,0.00,0.00,-0.2957,--,4.9,5.3,88.18,3.96,4.9123,--,--,-550.67,-52.92,Jan-15-2027,490.00,Sep-16-2026,--,--,0.00,0.00,--,-0.0248
HPQ270115P18,10,0.29,3.18,0.00,0.00,-0.0675,--,0.26,0.53,30.05,6.64,0.3931,--,--,"-2,916.74",-91.82,Jan-15-2027,260.00,Aug-25-2026,--,--,0.00,0.00,--,-0.0046
